IziSpot version : 4.70
num_fichier;date_update;format;url_interne;url_export;nom_ext;paramperso;actif;taille
40;03/09/2026;File;../images/download.gif;download_040.gif;.gif;;Vrai;1775
8;03/09/2026;File;../js/global.js;global_008.js;.js;;Vrai;4072
31;03/09/2026;File;../js/jquery/jquery.bxslider.css;jquery.bxslider_031.htm;.htm;;Vrai;3691
16;03/09/2026;File;../js/jquery/jquery.bxslider.js;jquery.bxslider_016.js;.js;;Vrai;49347
32;03/09/2026;File;../js/jquery/jquery.colorbox.css;jquery.colorbox_032.htm;.htm;;Vrai;4434
17;03/09/2026;File;../js/jquery/jquery.colorbox-min.js;jquery.colorbox-min_017.js;.js;;Vrai;11885
15;03/09/2026;File;../js/jquery/jquery.easing.1.3.js;jquery.easing.1.3_015.js;.js;;Vrai;8027
14;03/09/2026;File;../js/jquery/jquery-1.9.1.min.js;jquery-1.9.1.min_014.js;.js;;Vrai;92629
33;03/09/2026;File;../js/jquery/normalize.css;normalize_033.htm;.htm;;Vrai;7346
9;03/09/2026;File;../js/language.js;language_009.js;.js;;Vrai;7455
10;03/09/2026;File;../js/menu/dmenu.js;dmenu_010.js;.js;;Vrai;45162
13;03/09/2026;File;../js/menu/dmenu_add.js;dmenu_add_013.js;.js;;Vrai;5106
11;03/09/2026;File;../js/menu/dmenu_dyn.js;dmenu_dyn_011.js;.js;;Vrai;3457
12;03/09/2026;File;../js/menu/dmenu_popup.js;dmenu_popup_012.js;.js;;Vrai;1736
25;03/09/2026;File;image.asp?num_image=34;image_025.jpg;.jpg;;Vrai;550723
26;03/09/2026;File;image.asp?num_image=35;image_026.jpg;.jpg;;Vrai;457820
37;03/09/2026;File;image.asp?num_image=39;image_037.jpg;.jpg;;Vrai;21377
49;03/09/2026;File;image.asp?num_image=41;image_049.jpg;.jpg;;Vrai;32320
2;03/09/2026;File;image.asp?type=charte&num_image=1;image_002.png;.png;;Vrai;64952
3;03/09/2026;File;image.asp?type=charte&num_image=2;image_003.png;.png;;Vrai;383
5;03/09/2026;File;image.asp?type=charte&num_image=3;image_005.png;.png;;Vrai;21525
34;03/09/2026;File;image.asp?type=charte&num_image=4;image_034.png;.png;;Vrai;383
18;03/09/2026;Page;config_menu.asp?num_langue=7;config_menu_018.js;.js;;Vrai;4004
39;03/09/2026;Page;download.asp?num_page=29&num_langue=7;cv_039.htm;.htm;;Vrai;12039
44;03/09/2026;Page;download.asp?num_page=32&num_langue=7;thesis_044.htm;.htm;;Vrai;12438
1;03/09/2026;Page;index.asp;index.htm;.htm;;Vrai;15946
27;03/09/2026;Page;index.asp?num_page=5&num_langue=7&flash=non;home_027.htm;.htm;;Vrai;15946
41;03/09/2026;Page;perso.asp?num_page=30&num_langue=7;publication_041.htm;.htm;;Vrai;111994
42;03/09/2026;Page;perso.asp?num_page=31&num_langue=7;research_042.htm;.htm;;Vrai;14493
46;03/09/2026;Page;perso.asp?num_page=34&num_langue=7;teaching_046.htm;.htm;;Vrai;11616
50;03/09/2026;Page;perso.asp?num_page=38&num_langue=7;communications_050.htm;.htm;;Vrai;17975
45;03/09/2026;ZFile;zip.hdx?RepertoireZip=Files&NomFichierZip=2%5Fchekroun%5Fthesis%5Flyon1%2Epdf;Files/2_chekroun_thesis_lyon1.pdf;;;Vrai;5936238
51;03/09/2026;ZFile;zip.hdx?RepertoireZip=Files&NomFichierZip=5%5Fcv%5F2026%5Fchekroun%5Fenglish%2Epdf;Files/5_cv_2026_chekroun_english.pdf;;;Vrai;832942
52;03/09/2026;ZFile;zip.hdx?RepertoireZip=Files&NomFichierZip=6%5Fcv%5Fchekroun%5F2026fr%2Epdf;Files/6_cv_chekroun_2026fr.pdf;;;Vrai;645108
19;03/09/2026;ZFile;zip.hdx?RepertoireZip=MenuImage&NomFichierZip=empty%2Egif;MenuImage/empty.gif;;;Vrai;49
21;03/09/2026;ZFile;zip.hdx?RepertoireZip=MenuImage&NomFichierZip=ligne%2Egif;MenuImage/ligne.gif;;;Vrai;89
20;03/09/2026;ZFile;zip.hdx?RepertoireZip=MenuImage&NomFichierZip=smenu%2Egif;MenuImage/smenu.gif;;;Vrai;85
36;06/11/2014;File;../images/Slider/blackControls.png;blackControls_036.png;.png;;Faux;2415
35;06/11/2014;File;../images/Slider/blackTransparent.png;blackTransparent_035.png;.png;;Faux;208
4;06/11/2014;File;image.asp?num_image=16;image_004.png;.png;;Faux;1108
22;06/11/2014;File;image.asp?num_image=19;image_022.jpg;.jpg;;Faux;32153
23;06/11/2014;File;image.asp?num_image=20;image_023.jpg;.jpg;;Faux;31549
24;06/11/2014;File;image.asp?num_image=21;image_024.jpg;.jpg;;Faux;30902
29;06/11/2014;File;image.asp?num_image=33;image_029.jpg;.jpg;;Faux;39848
38;19/04/2016;File;image.asp?num_image=37;image_038.jpg;.jpg;;Faux;60668
30;19/04/2016;Page;contact.asp?num_page=23&num_langue=7;contact_030.htm;.htm;;Faux;13425
28;06/11/2014;Page;produits.asp?num_page=11&num_langue=7&pgtype=produits;nos_produits_028.htm;.htm;;Faux;12547
43;13/04/2016;ZFile;zip.hdx?RepertoireZip=Files&NomFichierZip=1%5Fcv%5Ffr4%2Epdf;Files/1_cv_fr4.pdf;;;Faux;96259
47;19/04/2016;ZFile;zip.hdx?RepertoireZip=Files&NomFichierZip=3%5Fcv%5Fenglish%2Epdf;Files/3_cv_english.pdf;;;Faux;137672
48;19/04/2016;ZFile;zip.hdx?RepertoireZip=Files&NomFichierZip=4%5Fcv%5Ffrancais%2Epdf;Files/4_cv_francais.pdf;;;Faux;96185
6;06/11/2014;ZFile;zip.hdx?RepertoireZip=SocialNetWork&NomFichierZip=1%5Ffacebook%5Fwhite%2Epng;SocialNetWork/1_facebook_white.png;;;Faux;420
7;06/11/2014;ZFile;zip.hdx?RepertoireZip=SocialNetWork&NomFichierZip=1%5Fgoogle%5Fgrey%2Epng;SocialNetWork/1_google_grey.png;;;Faux;480
